"Age","Country","Edu","Title","CompSize","DSPeople","CompML","Compensation","YOE","RecPL","YOE_ML","DSCourse","PLNo","VisualNo","HardwareNo","CloudPlatformNo","DatabaseNo"
"25-29","United States of America","Master’s degree","Data Analyst","250-999 employees","1-2","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","3-5 years","SQL","1-2 years",1,3,0,1,0,0
"50-54","Tunisia","Doctoral degree","Other","50-249 employees","0","No (we do not use ML methods)","1,000-1,999","1-2 years","Python","3-4 years",1,4,1,1,1,1
"22-24","Romania","Bachelor’s degree","Data Analyst","250-999 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","$0-999","1-2 years","Python","2-3 years",2,3,2,3,1,2
"30-34","Hungary","Master’s degree","Business Analyst","1000-9,999 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","3-5 years","Python","2-3 years",1,3,6,1,1,2
"25-29","Pakistan","Doctoral degree","Data Scientist","0-49 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999","3-5 years","Python","3-4 years",1,3,2,1,3,8
"30-34","Spain","Master’s degree","Research Scientist","50-249 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","20,000-24,999","1-2 years","Python","< 1 years",3,2,1,1,0,0
"25-29","United States of America","Master’s degree","DBA/Database Engineer","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","1-2 years","Python","< 1 years",7,2,1,1,0,0
"18-21","Ukraine","Master’s degree","Data Scientist","50-249 employees","3-4","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999","1-2 years","Python","1-2 years",3,2,2,1,0,0
"30-34","United States of America","Doctoral degree","Data Scientist","> 10,000 employees","3-4","We are exploring ML methods (and may one day put a model into production)","150,000-199,999","3-5 years","Python","3-4 years",3,2,4,2,2,3
"60-69","United States of America","Master’s degree","Business Analyst","1000-9,999 employees","1-2","We are exploring ML methods (and may one day put a model into production)","90,000-99,999","5-10 years","Python","2-3 years",2,3,4,2,1,3
"55-59","United States of America","Doctoral degree","Data Scientist","0-49 employees","5-9","We are exploring ML methods (and may one day put a model into production)","125,000-149,999","5-10 years","R","5-10 years",1,5,3,2,1,1
"18-21","United States of America","Some college/university study without earning a bachelor’s degree","Data Analyst","50-249 employees","3-4","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","< 1 years","Python","< 1 years",2,2,1,2,0,1
"25-29","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","50-249 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","1-2 years","Python","1-2 years",1,2,2,2,2,1
"25-29","Turkey","Master’s degree","Software Engineer","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999","1-2 years","Python","5-10 years",1,1,1,2,0,0
"40-44","United States of America","Master’s degree","Data Scientist","50-249 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","150,000-199,999","10-20 years","Python","5-10 years",2,3,4,2,1,2
"30-34","Other","Doctoral degree","Research Scientist","> 10,000 employees","20+","No (we do not use ML methods)","$0-999","5-10 years","Python","5-10 years",1,2,1,1,0,0
"30-34","Canada","Master’s degree","Data Scientist","250-999 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999","10-20 years","Python","3-4 years",4,3,2,2,0,1
"35-39","Germany","Doctoral degree","Product/Project Manager","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","10-20 years","Javascript","4-5 years",2,4,2,3,2,1
"25-29","India","Bachelor’s degree","Data Scientist","> 10,000 employees","1-2","We are exploring ML methods (and may one day put a model into production)","15,000-19,999","3-5 years","SQL","3-4 years",4,2,3,2,4,1
"22-24","Russia","Master’s degree","Data Scientist","0-49 employees","1-2","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","3-5 years","Python","2-3 years",5,1,1,1,1,0
"35-39","Nigeria","Doctoral degree","Statistician","0-49 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999","3-5 years","R","1-2 years",1,1,3,1,1,0
"25-29","Germany","Master’s degree","Data Scientist","50-249 employees","5-9","No (we do not use ML methods)","50,000-59,999","3-5 years","Python","4-5 years",2,3,1,1,1,2
"55-59","United States of America","Master’s degree","Other","1000-9,999 employees","20+","We are exploring ML methods (and may one day put a model into production)","250,000-299,999","10-20 years","R","3-4 years",3,2,3,1,0,0
"35-39","United States of America","Some college/university study without earning a bachelor’s degree","Product/Project Manager","0-49 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","100,000-124,999","< 1 years","Python","2-3 years",3,1,1,1,1,2
"25-29","Egypt","Bachelor’s degree","Data Scientist","0-49 employees","0","We are exploring ML methods (and may one day put a model into production)","$0-999","3-5 years","Python","< 1 years",5,3,3,2,0,0
"35-39","India","Bachelor’s degree","Data Scientist","> 10,000 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999","5-10 years","Python","4-5 years",6,2,1,2,1,0
"30-34","Russia","Doctoral degree","Software Engineer","0-49 employees","0","We are exploring ML methods (and may one day put a model into production)","$0-999","1-2 years","Python","1-2 years",0,2,2,1,0,1
"22-24","United States of America","Master’s degree","Business Analyst","50-249 employees","1-2","No (we do not use ML methods)","60,000-69,999","3-5 years","SQL","< 1 years",8,4,0,1,0,0
"25-29","United States of America","Master’s degree","Data Analyst","250-999 employees","5-9","We are exploring ML methods (and may one day put a model into production)","70,000-79,999","3-5 years","SQL","< 1 years",2,2,1,1,0,0
"35-39","India","Doctoral degree","Research Scientist","0-49 employees","0","We recently started using ML methods (i.e., models in production for less than 2 years)","$0-999","< 1 years","Python","< 1 years",1,8,4,1,0,0
"30-34","Germany","Doctoral degree","Research Scientist","1000-9,999 employees","5-9","We use ML methods for generating insights (but do not put working models into production)","15,000-19,999","10-20 years","Python","5-10 years",2,8,2,2,0,0
"22-24","Canada","Professional degree","Data Scientist","0-49 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","1-2 years","C++","2-3 years",0,5,0,3,1,0
"50-54","Germany","Doctoral degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999","20+ years","Python","10-15 years",0,3,1,1,0,2
"35-39","Colombia","Master’s degree","Data Scientist","50-249 employees","15-19","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","10-20 years","Java","10-15 years",2,1,3,2,3,2
"35-39","Brazil","Doctoral degree","Other","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","4,000-4,999","3-5 years","Python","2-3 years",6,2,2,1,1,4
"50-54","United States of America","Master’s degree","Data Scientist","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999","10-20 years","Python","5-10 years",2,2,1,2,0,0
"35-39","Canada","Doctoral degree","Software Engineer","> 10,000 employees","20+","We use ML methods for generating insights (but do not put working models into production)","125,000-149,999","< 1 years","Python","3-4 years",2,4,1,2,1,1
"30-34","India","Master’s degree","Product/Project Manager","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999","1-2 years","Python","3-4 years",0,1,4,1,3,2
"40-44","United States of America","Some college/university study without earning a bachelor’s degree","Other","50-249 employees","0","No (we do not use ML methods)","30,000-39,999","< 1 years","C++","< 1 years",4,4,2,1,0,0
"30-34","Switzerland","Doctoral degree","Data Scientist","0-49 employees","1-2","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","5-10 years","Python","5-10 years",1,6,3,2,2,3
"18-21","India","Bachelor’s degree","Data Analyst","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","$0-999","< 1 years","Python","< 1 years",2,2,4,3,2,4
"25-29","United States of America","Bachelor’s degree","Data Scientist","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","3-5 years","Python","4-5 years",5,4,1,2,0,0
"25-29","India","Master’s degree","Software Engineer","> 10,000 employees","20+","We use ML methods for generating insights (but do not put working models into production)","15,000-19,999","< 1 years","C","< 1 years",0,2,3,1,0,2
"25-29","Pakistan","Master’s degree","Data Scientist","0-49 employees","0","I do not know","$0-999","< 1 years","R","< 1 years",3,5,2,2,3,5
"25-29","Russia","Master’s degree","Software Engineer","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999","5-10 years","SQL","3-4 years",2,3,4,2,0,0
"25-29","United States of America","Master’s degree","Data Scientist","50-249 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999","3-5 years","Python","2-3 years",4,4,4,2,2,5
"25-29","India","Master’s degree","Business Analyst","> 10,000 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","5,000-7,499","1-2 years","Python","1-2 years",1,2,3,2,0,0
"30-34","Spain","Bachelor’s degree","Data Scientist","> 10,000 employees","15-19","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","5-10 years","R","2-3 years",5,2,4,1,0,2
"30-34","Netherlands","Master’s degree","Other","250-999 employees","0","We are exploring ML methods (and may one day put a model into production)","50,000-59,999","5-10 years","Python","5-10 years",0,2,0,2,0,1
"22-24","India","Bachelor’s degree","Software Engineer","50-249 employees","0","No (we do not use ML methods)","5,000-7,499","< 1 years","Python","1-2 years",1,2,2,2,0,0
"30-34","Nigeria","Master’s degree","Product/Project Manager","0-49 employees","3-4","We are exploring ML methods (and may one day put a model into production)","$0-999","1-2 years","Python","1-2 years",1,1,1,1,1,0
"45-49","South Africa","Bachelor’s degree","Statistician","50-249 employees","5-9","We are exploring ML methods (and may one day put a model into production)","20,000-24,999","1-2 years","Python","2-3 years",2,2,0,2,2,1
"25-29","Other","Master’s degree","Data Scientist","1000-9,999 employees","10-14","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","3-5 years","Python","4-5 years",3,4,3,1,0,0
"35-39","Germany","I prefer not to answer","Software Engineer","0-49 employees","1-2","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999","3-5 years","Python","10-15 years",4,5,4,1,1,1
"40-44","Israel","Doctoral degree","Research Scientist","250-999 employees","3-4","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","1-2 years","Python","1-2 years",3,2,1,1,0,0
"35-39","Netherlands","Master’s degree","Data Analyst","> 10,000 employees","20+","No (we do not use ML methods)","50,000-59,999","1-2 years","R","< 1 years",1,3,1,1,0,0
"30-34","United States of America","Master’s degree","Data Scientist","250-999 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","1-2 years","Python","1-2 years",4,3,3,2,1,2
"35-39","India","Professional degree","Business Analyst","1000-9,999 employees","0","No (we do not use ML methods)","25,000-29,999","< 1 years","Python","< 1 years",0,1,3,1,0,0
"18-21","Indonesia","Bachelor’s degree","Data Scientist","0-49 employees","1-2","No (we do not use ML methods)","2,000-2,999","< 1 years","Python","< 1 years",3,2,3,2,3,6
"30-34","United States of America","Bachelor’s degree","Data Analyst","250-999 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999","5-10 years","Other","5-10 years",3,3,2,1,0,2
"22-24","Poland","Master’s degree","Business Analyst","1000-9,999 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999","< 1 years","Python","< 1 years",2,3,2,1,0,1
"40-44","Canada","Bachelor’s degree","Business Analyst","250-999 employees","3-4","No (we do not use ML methods)","30,000-39,999","5-10 years","Python","< 1 years",3,2,2,1,0,0
"30-34","Other","Some college/university study without earning a bachelor’s degree","Data Scientist","0-49 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","150,000-199,999","5-10 years","R","3-4 years",4,1,3,1,0,0
"30-34","New Zealand","Master’s degree","Data Scientist","0-49 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","5-10 years","Python","5-10 years",3,4,3,1,0,0
"25-29","Brazil","Bachelor’s degree","Data Analyst","50-249 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","20,000-24,999","1-2 years","Python","1-2 years",3,2,3,1,1,4
"30-34","India","Master’s degree","Other","250-999 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","30,000-39,999","3-5 years","Python","1-2 years",4,2,2,1,0,0
"22-24","Canada","No formal education past high school","Data Scientist","50-249 employees","1-2","We are exploring ML methods (and may one day put a model into production)","40,000-49,999","< 1 years","Python","1-2 years",2,2,2,2,1,1
"22-24","Russia","Master’s degree","Data Analyst","1000-9,999 employees","1-2","No (we do not use ML methods)","15,000-19,999","< 1 years","Python","< 1 years",0,0,2,1,0,0
"18-21","Russia","Bachelor’s degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","$0-999","< 1 years","Python","< 1 years",1,1,2,2,0,0
"22-24","Taiwan","Master’s degree","Research Scientist","0-49 employees","0","No (we do not use ML methods)","$0-999","< 1 years","Python","< 1 years",1,2,2,2,0,0
"25-29","Pakistan","Bachelor’s degree","Data Scientist","0-49 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","3-5 years","Python","2-3 years",5,3,4,1,2,3
"55-59","Norway","Bachelor’s degree","Other","1000-9,999 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999","3-5 years","Python","2-3 years",4,4,2,2,4,4
"25-29","India","Master’s degree","Business Analyst","1000-9,999 employees","3-4","We are exploring ML methods (and may one day put a model into production)","20,000-24,999","1-2 years","Python","1-2 years",4,3,3,2,2,2
"45-49","Morocco","Master’s degree","Software Engineer","0-49 employees","3-4","We are exploring ML methods (and may one day put a model into production)","15,000-19,999","3-5 years","Python","1-2 years",3,4,1,1,3,3
"35-39","Russia","Doctoral degree","Data Analyst","250-999 employees","20+","No (we do not use ML methods)","10,000-14,999","1-2 years","Python","< 1 years",3,1,0,1,0,0
"30-34","United States of America","Master’s degree","Data Engineer","250-999 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","5-10 years","Python","1-2 years",3,2,2,1,2,1
"22-24","Russia","Master’s degree","Data Scientist","1000-9,999 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","3-5 years","Python","1-2 years",3,1,3,2,0,0
"35-39","United States of America","Bachelor’s degree","Data Scientist","> 10,000 employees","5-9","We use ML methods for generating insights (but do not put working models into production)","125,000-149,999","3-5 years","Python","2-3 years",8,3,7,1,3,5
"40-44","Russia","Doctoral degree","Other","250-999 employees","3-4","No (we do not use ML methods)","50,000-59,999","1-2 years","Python","1-2 years",2,3,3,1,0,0
"30-34","United States of America","Doctoral degree","Data Scientist","1000-9,999 employees","3-4","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","10-20 years","Python","1-2 years",1,3,2,2,1,4
"40-44","Germany","Doctoral degree","Other","1000-9,999 employees","15-19","No (we do not use ML methods)","70,000-79,999","5-10 years","R","1-2 years",0,2,1,1,0,0
"18-21","Russia","Bachelor’s degree","Data Engineer","0-49 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","< 1 years","Python","< 1 years",2,2,3,2,1,3
"30-34","Germany","Doctoral degree","Research Scientist","50-249 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","50,000-59,999","5-10 years","Python","4-5 years",0,2,2,2,0,0
"25-29","United States of America","Master’s degree","Data Analyst","50-249 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","1,000-1,999","3-5 years","R","2-3 years",7,6,3,1,0,4
"25-29","Netherlands","Doctoral degree","Research Scientist","1000-9,999 employees","0","I do not know","30,000-39,999","5-10 years","Python","4-5 years",1,4,3,2,0,1
"40-44","Other","Master’s degree","Data Scientist","1000-9,999 employees","5-9","We use ML methods for generating insights (but do not put working models into production)","80,000-89,999","3-5 years","Python","3-4 years",4,2,2,1,1,1
"22-24","Russia","Doctoral degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","3-5 years","Python","3-4 years",3,2,2,2,0,1
"18-21","India","Bachelor’s degree","Data Analyst","0-49 employees","0","We are exploring ML methods (and may one day put a model into production)","$0-999","< 1 years","Python","< 1 years",3,1,2,1,1,0
"30-34","Other","Doctoral degree","Data Scientist","0-49 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","5-10 years","R","2-3 years",2,2,2,1,1,2
"22-24","United States of America","Bachelor’s degree","Data Scientist","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999","3-5 years","Python","1-2 years",2,3,3,1,0,1
"25-29","United States of America","Master’s degree","Data Scientist","250-999 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","1-2 years","Python","1-2 years",3,3,6,2,2,5
"30-34","United States of America","Master’s degree","Data Analyst","> 10,000 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","5-10 years","Java","4-5 years",5,2,4,2,0,0
"25-29","Other","Bachelor’s degree","Data Analyst","50-249 employees","10-14","We are exploring ML methods (and may one day put a model into production)","7,500-9,999","1-2 years","Python","< 1 years",3,1,3,1,1,1
"40-44","Brazil","Master’s degree","Product/Project Manager","1000-9,999 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","20+ years","Python","4-5 years",4,6,2,1,0,0
"35-39","Ukraine","Master’s degree","Software Engineer","250-999 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","3-5 years","Python","2-3 years",1,4,6,2,0,0
"25-29","Morocco","Master’s degree","Data Scientist","0-49 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999","3-5 years","Python","2-3 years",1,4,2,2,0,3
"40-44","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","0-49 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999","5-10 years","Python","2-3 years",2,2,2,1,1,1
"35-39","United States of America","Some college/university study without earning a bachelor’s degree","Data Analyst","50-249 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","70,000-79,999","1-2 years","Python","1-2 years",3,1,1,1,1,1
"40-44","United Kingdom of Great Britain and Northern Ireland","Some college/university study without earning a bachelor’s degree","Data Scientist","> 10,000 employees","20+","No (we do not use ML methods)","20,000-24,999","10-20 years","R","< 1 years",3,2,1,1,0,0
"45-49","United States of America","Master’s degree","Data Analyst","> 10,000 employees","20+","No (we do not use ML methods)","125,000-149,999","3-5 years","Python","1-2 years",3,2,2,1,0,0
"30-34","United States of America","Master’s degree","Data Scientist","0-49 employees","3-4","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","10-20 years","R","3-4 years",4,2,2,1,0,0
"25-29","United States of America","Master’s degree","Data Analyst","50-249 employees","15-19","We have well established ML methods (i.e., models in production for more than 2 years)","$0-999","3-5 years","Other","2-3 years",1,1,0,1,0,0
"60-69","Canada","Doctoral degree","Statistician","> 10,000 employees","1-2","I do not know","125,000-149,999","1-2 years","SQL","1-2 years",0,1,1,1,0,0
"30-34","United States of America","Master’s degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","3-5 years","Python","4-5 years",4,2,2,2,1,0
"40-44","India","Bachelor’s degree","Data Analyst","0-49 employees","1-2","No (we do not use ML methods)","$0-999","< 1 years","Python","< 1 years",3,1,4,1,0,0
"18-21","Poland","Master’s degree","Other","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","1-2 years","Python","1-2 years",4,1,2,2,0,0
"40-44","Poland","Master’s degree","Data Engineer","0-49 employees","10-14","We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","1-2 years","Python","1-2 years",3,2,0,1,1,2
"30-34","United States of America","Master’s degree","Data Analyst","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","125,000-149,999","3-5 years","Python","2-3 years",1,4,5,2,1,3
"55-59","Japan","Master’s degree","Other","250-999 employees","0","No (we do not use ML methods)","7,500-9,999","3-5 years","Python","1-2 years",2,1,2,2,0,0
"35-39","Brazil","Master’s degree","Product/Project Manager","0-49 employees","0","We are exploring ML methods (and may one day put a model into production)","30,000-39,999","5-10 years","Python","< 1 years",4,2,1,1,1,1
"55-59","Poland","Master’s degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999","20+ years","Python","2-3 years",3,4,3,2,1,1
"22-24","Nigeria","Bachelor’s degree","Data Analyst","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","2,000-2,999","1-2 years","Python","1-2 years",0,1,2,1,1,2
"25-29","India","Master’s degree","Data Scientist","> 10,000 employees","20+","I do not know","20,000-24,999","3-5 years","Python","3-4 years",1,1,2,1,0,0
"60-69","United States of America","Master’s degree","Data Engineer","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","70,000-79,999","3-5 years","Python","2-3 years",4,4,4,1,1,2
"45-49","Israel","Master’s degree","Data Analyst","1000-9,999 employees","1-2","I do not know","$0-999","10-20 years","Python","1-2 years",2,2,2,1,0,0
"25-29","United States of America","Master’s degree","Data Scientist","1000-9,999 employees","3-4","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","3-5 years","Python","3-4 years",2,1,2,2,1,3
"25-29","United States of America","Doctoral degree","Research Scientist","0-49 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","200,000-249,999","1-2 years","Python","3-4 years",1,2,2,2,2,0
"30-34","United States of America","Master’s degree","Software Engineer","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999","3-5 years","Python","1-2 years",5,2,3,2,2,0
"40-44","Russia","Master’s degree","Other","1000-9,999 employees","5-9","We are exploring ML methods (and may one day put a model into production)","15,000-19,999","10-20 years","Python","< 1 years",2,3,1,1,0,0
"25-29","United States of America","Master’s degree","Data Analyst","0-49 employees","1-2","No (we do not use ML methods)","10,000-14,999","< 1 years","Python","< 1 years",4,2,2,1,2,1
"25-29","Australia","Bachelor’s degree","Data Scientist","> 10,000 employees","15-19","We use ML methods for generating insights (but do not put working models into production)","125,000-149,999","5-10 years","Python","1-2 years",1,3,2,1,1,3
"25-29","India","Bachelor’s degree","Data Scientist","0-49 employees","10-14","We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499","1-2 years","Python","1-2 years",7,1,2,3,1,2
"25-29","United States of America","Master’s degree","Data Engineer","> 10,000 employees","10-14","We use ML methods for generating insights (but do not put working models into production)","7,500-9,999","3-5 years","Python","1-2 years",5,2,5,1,0,2
"25-29","United States of America","Master’s degree","Data Scientist","250-999 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","3-5 years","Python","2-3 years",2,3,2,1,0,0
"22-24","India","Master’s degree","Data Analyst","50-249 employees","10-14","We use ML methods for generating insights (but do not put working models into production)","30,000-39,999","1-2 years","Python","2-3 years",5,3,3,1,0,0
"25-29","Canada","Bachelor’s degree","Software Engineer","0-49 employees","1-2","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","3-5 years","Python","1-2 years",2,3,0,1,1,1
"45-49","United States of America","Master’s degree","Data Engineer","1000-9,999 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","125,000-149,999","10-20 years","Python","5-10 years",7,3,2,1,3,4
"50-54","United States of America","Master’s degree","Data Scientist","1000-9,999 employees","20+","We are exploring ML methods (and may one day put a model into production)","150,000-199,999","20+ years","Python","20+ years",3,7,2,2,1,1
"25-29","Italy","Master’s degree","Data Scientist","1000-9,999 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","3-5 years","R","2-3 years",5,2,2,1,2,1
"18-21","India","Master’s degree","Data Scientist","0-49 employees","0","We are exploring ML methods (and may one day put a model into production)","10,000-14,999","1-2 years","R","1-2 years",1,3,3,1,0,0
"45-49","Australia","Doctoral degree","Statistician","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","20+ years","R","20+ years",3,2,3,1,2,0
"40-44","Colombia","Master’s degree","Data Analyst","> 10,000 employees","5-9","We are exploring ML methods (and may one day put a model into production)","2,000-2,999","< 1 years","Python","< 1 years",6,1,3,1,3,2
"22-24","Ukraine","Master’s degree","Data Scientist","250-999 employees","5-9","We are exploring ML methods (and may one day put a model into production)","7,500-9,999","1-2 years","Python","1-2 years",3,3,4,2,1,3
"35-39","Russia","I prefer not to answer","Product/Project Manager","0-49 employees","1-2","No (we do not use ML methods)","$0-999","5-10 years","R","1-2 years",2,1,0,1,1,2
"50-54","Argentina","Professional degree","Software Engineer","1000-9,999 employees","5-9","We are exploring ML methods (and may one day put a model into production)","20,000-24,999","20+ years","Python","< 1 years",0,2,1,1,1,1
"25-29","India","Bachelor’s degree","Business Analyst","> 10,000 employees","20+","I do not know","10,000-14,999","< 1 years","Python","< 1 years",1,3,2,2,0,0
"40-44","Switzerland","Doctoral degree","Statistician","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999","20+ years","Python","10-15 years",2,2,3,3,0,0
"22-24","Morocco","Doctoral degree","Research Scientist","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","$0-999","1-2 years","Python","2-3 years",5,5,2,2,0,0
"50-54","Argentina","Some college/university study without earning a bachelor’s degree","Business Analyst","> 10,000 employees","10-14","We are exploring ML methods (and may one day put a model into production)","20,000-24,999","3-5 years","R","1-2 years",2,1,2,1,1,1
"18-21","Canada","Bachelor’s degree","Statistician","0-49 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","20,000-24,999","3-5 years","Bash","1-2 years",3,3,3,2,2,1
"25-29","United States of America","Master’s degree","Data Scientist","0-49 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","125,000-149,999","5-10 years","Python","3-4 years",2,3,3,2,1,0
"35-39","Brazil","Bachelor’s degree","Other","> 10,000 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999","< 1 years","R","< 1 years",3,2,3,1,0,0
"22-24","India","Master’s degree","Business Analyst","> 10,000 employees","3-4","We are exploring ML methods (and may one day put a model into production)","10,000-14,999","1-2 years","Python","1-2 years",5,4,1,1,2,1
"45-49","Germany","Master’s degree","Data Scientist","50-249 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","20+ years","Java","20+ years",0,1,0,1,3,4
"22-24","India","Bachelor’s degree","Software Engineer","> 10,000 employees","5-9","I do not know","5,000-7,499","< 1 years","Python","< 1 years",1,2,2,1,0,2
"30-34","Brazil","Doctoral degree","Data Scientist","250-999 employees","3-4","No (we do not use ML methods)","3,000-3,999","< 1 years","Python","< 1 years",3,3,2,1,0,0
"60-69","Italy","Master’s degree","Other","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","90,000-99,999","10-20 years","Python","1-2 years",2,3,3,2,0,1
"25-29","India","Master’s degree","Data Scientist","1000-9,999 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999","1-2 years","Python","1-2 years",3,1,1,1,1,0
"40-44","Poland","Master’s degree","Data Analyst","> 10,000 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","3-5 years","R","2-3 years",1,3,5,1,0,4
"40-44","South Africa","Doctoral degree","Research Scientist","250-999 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","10-20 years","Python","10-15 years",3,2,4,2,1,1
"35-39","United States of America","Bachelor’s degree","Software Engineer","> 10,000 employees","10-14","We use ML methods for generating insights (but do not put working models into production)","90,000-99,999","1-2 years","Python","1-2 years",6,2,3,1,0,0
